"Estacao";"Data";"Hora";"Precipitacao";"TempBulboSeco";"TempBulboUmido";"TempMaxima";"TempMinima";"UmidadeRelativa";"PressaoAtmEstacao";"PressaoAtmMar";"DirecaoVento";"VelocidadeVento";"insolacao";"Nebulosidade";"Evaporacao Piche";"Temp Comp Media";"Umidade Relativa Media";"Velocidade do Vento Media";"NA"
"83004";"02/08/1993";0;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;1,4;-9999;-9999;-9999;-9999
"83004";"01/01/1995";0;-9999;-9999;-9999;26,8;-9999;-9999;-9999;-9999;-9999;-9999;1,5;-9999;1,6;22,04;86,75;2;-9999
"83004";"01/01/1995";1200;21,2;22,5;20;-9999;19,5;80;924,6;-9999;32;4;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"01/01/1995";1800;-9999;25,2;21,5;-9999;-9999;73;922,9;-9999;32;2;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"02/01/1995";0;-9999;20,7;20,3;28,9;-9999;97;924,2;-9999;0;0;1,3;10;1,1;23,32;83;2,666667;-9999
"83004";"02/01/1995";1200;3,2;23,8;20,6;-9999;19,9;76;924,7;-9999;32;3;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"02/01/1995";1800;-9999;26,4;21,6;-9999;-9999;66;921,5;-9999;32;5;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"03/01/1995";0;-9999;22;21,4;25,4;-9999;95;922,7;-9999;0;0;0,2;10;1,3;22,54;93,5;1;-9999
"83004";"03/01/1995";1200;4,4;23;21,3;-9999;20,7;86;923,6;-9999;0;0;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"03/01/1995";1800;-9999;23,4;22,6;-9999;-9999;94;922,1;-9999;5;3;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"04/01/1995";0;-9999;21,8;21,4;26,7;-9999;97;923,3;-9999;0;0;0,2;10;0,6;22,56;86,5;0,666667;-9999
"83004";"04/01/1995";1200;10,3;23,3;20,8;-9999;20;80;923,4;-9999;36;2;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"04/01/1995";1800;-9999;23,5;21,4;-9999;-9999;84;921,9;-9999;0;0;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"05/01/1995";0;-9999;21,4;20,3;29,7;-9999;91;922,6;-9999;0;0;2,6;7;1;24,26;72,5;3;-9999
"83004";"05/01/1995";1200;0,2;25,4;21,5;-9999;19,8;72;923,3;-9999;36;5;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"05/01/1995";1800;-9999;29,2;22,7;-9999;-9999;58;920,9;-9999;32;4;-9999;8;-9999;-9999;-9999;-9999;-9999
"83004";"06/01/1995";0;-9999;23,2;20,6;31;-9999;80;922,5;-9999;0;0;6,1;9;2,1;25,36;68,25;4;-9999
"83004";"06/01/1995";1200;0,2;26,1;21;-9999;21,9;64;924,2;-9999;32;8;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"06/01/1995";1800;-9999;29,6;21,8;-9999;-9999;51;922,3;-9999;32;4;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"07/01/1995";0;-9999;23,9;21,1;29,8;-9999;79;923;-9999;0;0;2,4;6;2,7;24,54;76;4;-9999
"83004";"07/01/1995";1200;0;27,5;21,8;-9999;21,6;62;923,4;-9999;32;5;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"07/01/1995";1800;-9999;29,2;22,3;-9999;-9999;56;921,4;-9999;32;4;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"08/01/1995";0;-9999;21,9;21;28,4;-9999;93;922,9;-9999;5;3;0,7;10;2;23,28;82;1,333333;-9999
"83004";"08/01/1995";1200;15,8;23;20,9;-9999;20,4;83;921,8;-9999;0;0;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"08/01/1995";1800;-9999;27,2;22,4;-9999;-9999;67;920,1;-9999;32;4;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"09/01/1995";0;-9999;22,3;21;29,4;-9999;89;921,6;-9999;0;0;0,8;10;1,6;23,58;72,75;5;-9999
"83004";"09/01/1995";1200;4,3;19,5;18,5;-9999;19,2;91;922,7;-9999;32;5;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"09/01/1995";1800;-9999;28,2;21,8;-9999;-9999;58;919,2;-9999;32;10;-9999;10;-9999;-9999;-9999;-9999;-9999
"83004";"10/01/1995";0;-9999;24,9;20,9;30,1;-9999;71;920,4;-9999;0;0;3,9;6;2,6;24,18;75,75;4;-9999
"83004";"10/01/1995";1200;0,1;25,1;21,3;-9999;19,5;72;921,7;-9999;32;7;-9999;8;-9999;-9999;-9999;-9999;-9999
"83004";"10/01/1995";1800;-9999;28,8;21,7;-9999;-9999;55;919,9;-9999;36;5;-9999;10;-9999;-9999;-9999;-9999;-9999
