//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 3054002
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
03054002;1;01/01/1934;1;;;;;0;0;0;;0;;;;;10,5;3;11,1;0;0;0;0;0;0;0;0;37,6;0;18,4;12,5;0;0;67,5;12,3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/02/1934;1;66,3;174,7;6;10;1;1;0;;0;15,5;3,5;0;0;11,9;66,3;1;40;0;0;0;1,1;24,7;0;0;0;0;0;0;0;0;0;0;8,2;2,5;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
03054002;1;01/03/1934;1;55;160,7;9;10;1;1;0;;0;0;0;0;0;0;0;0;0;55;11,7;5;0;7,5;9,5;0;3;1;23;0;0;0;0;0;0;0;0;0;0;0;23,5;21,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/04/1934;1;54,5;98,4;1;4;1;1;0;;0;54,5;0;0;0;0;18,5;0;19,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,9;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/05/1934;1;30,5;119,4;29;8;1;1;1;;0;0;19;26,7;0;3,2;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,5;0;0;0;1,3;0;0;14;30,5;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/06/1934;1;42,5;191,6;13;11;1;1;0;;0;0;0;21,5;12,7;8,7;0;0;0;0;0;27,3;37,5;42,5;0;0;0;0;0;0;0,7;3,2;3;0;33,5;0;0;0;1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/07/1934;1;10,5;30,6;6;7;1;1;0;;0;0;0;0;0;0;10,5;4;0;0;0;0;0;1,2;0,7;0;0;0;7,2;0;0;0;0;0;0;0;1,1;5,9;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/08/1934;1;30,3;100,3;30;8;1;1;0;;0;0;0;0;0;27,5;0;2,9;5,4;0;13,6;0;0;0;0;0;1,8;17;0;0;0;0;0;0;0;0;0;0;0;0;30,3;1,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/09/1934;1;36,8;94;19;4;1;1;0;;0;0;0;0;0;0;5;0;0;0;0;34,5;0;0;0;0;0;0;0;36,8;17,7;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/10/1934;1;69,2;156,5;5;7;1;1;0;;0;0;0;0;20,8;69,2;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;40;1;5,4;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/11/1934;1;36,1;100,6;5;7;1;1;0;;0;0;0;0;11,1;36,1;15;32,5;0;0;0;0;0;0;0;3,3;0;0;0;0;0;0;0;0;0;0;2,5;0;0,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/12/1934;1;25,3;52,5;4;4;1;1;0;;0;0;0;0;25,3;7,8;0;0;0;0;16;0;0;0;0;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/01/1935;1;33,5;99,7;26;7;1;1;0;1004,4;1;8;0;0;0;0;0;0;0;0;0;7,5;0;11,8;0;0;0;0;30;1,5;0;0;0;0;0;0;33,5;7,4;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/02/1935;1;28,3;62,1;26;4;1;1;0;1004,4;1;0;0;0;0;0;10,5;0;0;0;0;0;0;0;17,3;0;0;0;0;0;0;0;0;0;0;6;28,3;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
03054002;1;01/03/1935;1;49;142,3;13;4;1;1;0;1004,4;1;0;0;0;0;0;0;0;0;0;0;41,3;0;49;0;31,5;0;0;0;20,5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/04/1935;1;43,5;54,9;13;4;1;1;0;1004,4;1;0;0;0;0;0;0;2,7;0;0;0;0;0;43,5;7,7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/05/1935;1;18,9;36,7;21;4;1;1;0;1004,4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10,3;0;0;18,9;0;0;0;0;0;0;0;0;0;4,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/06/1935;1;26;89,7;18;11;1;1;0;1004,4;1;9,9;0;6,5;1;0;0;0;0;0;0;0;0;0;0;0,5;3,6;0;26;6;5;0;0;0;2,2;7;0;0;0;22;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/07/1935;1;25;42,5;20;6;1;1;0;1004,4;1;0;0;0;0;0;0;0;0;0;3;1;4;0;0;0;5,5;4;0;0;25;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/08/1935;1;14;57;15;9;1;1;0;1004,4;1;0,9;0;0;0;0;0;5,5;1,2;10;12;0;0;0;0;14;3,2;0;0;0;0;0;0;0;0;0;0;0;0;6,5;3,7;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
03054002;1;01/09/1935;1;20,5;47,4;4;7;1;1;0;1004,4;1;0;0;0;20,5;1,5;4,5;0;0;0;0;0;0;0;5,5;0;5,3;9;0;0;0;1,1;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
03054002;1;01/10/1935;1;40,3;163,1;20;10;1;1;0;1004,4;1;0;0;16,5;0;0;0;5,4;4;6;0;0;0;19;38;0;28,2;2,9;0;0;40,3;0;0;2,8;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
