Codigo,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
82704,Cruzeiro do Sul,AC,257.9,277.3,299.4,244.1,162.6,86.5,65.7,85.9,134.5,215.4,230.7,223.0,2283.0
82915,Rio Branco,AC,289.0,284.8,230.2,190.3,93.2,31.6,43.7,38.4,89.6,170.8,221.2,264.7,1947.5
82807,Tarauacá,AC,286.6,264.1,308.5,198.3,120.5,53.4,64.5,80.4,104.4,197.0,241.6,272.0,2191.2
83098,Coruripe,AL,21.6,46.9,166.6,139.4,190.4,223.8,153.4,98.1,64.5,35.6,14.8,24.4,1179.5
82994,Maceió,AL,78.1,88.3,194.5,268.8,382.2,331.9,273.7,155.2,130.3,73.5,31.7,62.5,2070.5
82988,Mata Grande,AL,62.1,80.4,111.2,98.9,178.7,176.1,206.7,102.0,44.0,16.6,28.5,64.1,1169.3
82992,Palmeira dos Índios,AL,15.1,26.3,87.2,102.3,163.5,198.3,139.9,51.9,47.9,9.5,10.6,74.3,926.8
82113,Barcelos,AM,206.7,174.0,274.2,302.7,338.0,256.5,198.5,155.8,137.4,150.6,184.1,169.5,2548.0
82410,Benjamin Constant,AM,332.7,276.6,326.3,294.8,245.2,134.6,135.6,128.6,166.6,242.1,244.8,293.6,2821.4
82418,Carauari,AM,333.9,232.4,318.1,314.9,229.8,136.8,102.9,107.8,171.4,216.2,260.5,266.4,2691.2
82425,Coari,AM,231.5,207.4,231.7,253.6,211.1,109.7,83.4,73.7,99.0,168.8,167.0,232.3,2069.0
82326,Codajás,AM,254.4,253.1,328.5,286.1,230.3,99.5,82.8,88.2,104.5,191.8,166.5,264.0,2349.7
82610,Eirunepé,AM,229.4,239.0,256.1,263.9,169.5,102.5,91.1,58.2,139.0,156.0,257.7,233.7,2196.1
82212,Fonte Boa,AM,235.9,200.3,265.9,283.3,282.0,238.1,175.7,153.4,149.7,190.5,189.3,199.0,2562.9
82727,Humaitá,AM,267.7,260.3,326.0,259.2,160.1,56.3,19.9,58.7,109.2,188.7,224.2,263.4,2193.6
82067,Iauaretê,AM,292.4,217.0,299.3,353.1,417.3,368.7,350.6,278.5,255.4,259.1,223.4,241.0,3555.7
82336,Itacoatiara,AM,335.8,294.9,348.0,326.9,275.8,176.0,129.5,82.8,87.6,113.2,138.2,230.9,2539.6
